Ticker,Start Date,End Date,Interval,Success Rate,Entry Date,Entry Price,Exit Date,Exit Price,Profit/Loss,Signal type,Level,Return
,,,,,2022-07-06,144.1199951171875,2022-07-15,150.86000061035156,1.0,long,2.0,0.03872763004834928
,,,,,2022-09-06,154.52999877929688,2022-09-12,164.25999450683594,0.0,short,2.0,-0.030982104038679428
,,,,,2022-10-24,150.22999572753906,2022-10-27,144.1300048828125,0.0,long,2.0,-0.030982104038679428
,,,,,2022-12-16,134.50999450683594,2023-01-03,124.16999816894533,1.0,short,6.0,0.06972402379104906
,,,,,2022-12-19,132.3699951171875,2022-12-21,136.80999755859375,0.0,short,4.0,-0.030986867635103502
,,,,,2023-01-23,143.32000732421875,2023-01-25,138.80999755859375,0.0,long,4.0,-0.030986867635103502
,,,,,2023-01-27,147.22999572753906,2023-01-31,142.27999877929688,0.0,long,2.0,-0.030982104038679428
,,,,,2023-03-30,162.47000122070312,2023-04-28,169.85000610351562,1.0,long,2.0,0.03872763004834928
,,,,,2023-03-30,162.47000122070312,2023-05-05,174.3000030517578,1.0,long,4.0,0.05422701836143113
,,,,,2023-03-30,162.47000122070312,2023-05-19,176.38999938964844,1.0,long,8.0,0.08521829795468641
,,,,,2023-05-08,173.85000610351562,2023-06-30,194.47999572753903,1.0,long,10.0,0.10071253394644757
AAPL,2022-01-01,2023-07-29,1D,40.0,,,,,,,,
