Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,399.04998779296875,401.94000244140625,396.8800048828125,401.67999267578125,397.5797424316406,40575900
2022-01-04,402.239990234375,402.2799987792969,393.2900085449219,396.4700012207031,392.42291259765625,58027200
2022-01-05,394.739990234375,395.8900146484375,384.0299987792969,384.2900085449219,380.3672180175781,75739800
2022-01-06,382.4200134277344,387.3500061035156,380.1300048828125,384.0199890136719,380.0999450683594,70814300
2022-01-07,384.0299987792969,385.760009765625,378.0400085449219,379.8599853515625,375.982421875,72652300
2022-01-10,374.82000732421875,380.6400146484375,369.30999755859375,380.1099853515625,376.2298583984375,91770500
2022-01-11,379.3599853515625,385.989990234375,377.2200012207031,385.82000732421875,381.8816223144531,68295700
2022-01-12,388.4599914550781,390.20001220703125,385.010009765625,387.3500061035156,383.39599609375,54576400
2022-01-13,388.7699890136719,389.4700012207031,376.70001220703125,377.6600036621094,373.8049011230469,77994000
2022-01-14,375.07000732421875,380.3500061035156,374.8599853515625,380.010009765625,376.13092041015625,80121200
2022-01-18,374.0400085449219,376.2200012207031,369.7699890136719,370.54998779296875,366.7674560546875,75450900
2022-01-19,372.1499938964844,374.69000244140625,366.2099914550781,366.4800109863281,362.739013671875,81791500
2022-01-20,369.7900085449219,373.8699951171875,361.1700134277344,361.7200012207031,358.0276184082031,88610700
2022-01-21,359.4700012207031,362.17999267578125,351.3999938964844,351.69000244140625,348.0999450683594,143388900
2022-01-24,345.9100036621094,353.9800109863281,334.1499938964844,353.29998779296875,349.6935729980469,198685800
2022-01-25,346.6700134277344,351.0299987792969,341.67999267578125,345.1099853515625,341.587158203125,124398400
2022-01-26,352.9100036621094,356.8800048828125,340.7799987792969,344.57000732421875,341.05267333984375,146559500
2022-01-27,349.3999938964844,351.2699890136719,340.04998779296875,341.1000061035156,337.6180725097656,95255700
2022-01-28,343.0299987792969,352.0199890136719,337.95001220703125,351.79998779296875,348.2088623046875,108167900
2022-01-31,353.20001220703125,363.6499938964844,351.5199890136719,363.04998779296875,359.3439636230469,94326400
2022-02-01,364.42999267578125,366.19000244140625,359.1400146484375,365.5199890136719,361.7887878417969,74433000
2022-02-02,369.760009765625,370.1000061035156,364.2900085449219,368.489990234375,364.728515625,78777100
2022-02-03,358.5299987792969,361.92999267578125,352.4599914550781,353.54998779296875,349.9410095214844,95384800
2022-02-04,354.0799865722656,361.3999938964844,351.9700012207031,358.010009765625,354.35552978515625,86318300
2022-02-07,358.6199951171875,361.04998779296875,353.8399963378906,355.1300048828125,351.5048828125,58198100
2022-02-08,353.9599914550781,360.239990234375,352.79998779296875,359.1199951171875,355.4541320800781,64720900
2022-02-09,363.760009765625,366.80999755859375,362.1199951171875,366.7300109863281,362.9864501953125,55766400
2022-02-10,359.5199890136719,366.489990234375,356.5400085449219,358.42999267578125,354.77117919921875,112468500
2022-02-11,358.42999267578125,360.07000732421875,345.79998779296875,347.05999755859375,343.51727294921875,101569100
2022-02-14,346.489990234375,350.9800109863281,343.8900146484375,347.489990234375,343.9428405761719,80254400
2022-02-15,352.9100036621094,356.3699951171875,351.82000732421875,356.1300048828125,352.49468994140625,55128800
2022-02-16,353.82000732421875,357.0899963378906,350.7099914550781,356.0400085449219,352.40557861328125,58947100
2022-02-17,352.739990234375,353.4599914550781,345.0199890136719,345.45001220703125,341.9236755371094,61801400
2022-02-18,346.4100036621094,346.80999755859375,339.1400146484375,341.510009765625,338.0238952636719,80001500
2022-02-22,338.489990234375,344.0400085449219,334.3500061035156,338.0799865722656,334.6289367675781,85967100
2022-02-23,341.32000732421875,342.17999267578125,329.1000061035156,329.4200134277344,326.05731201171875,86215400
2022-02-24,318.8399963378906,341.0400085449219,318.260009765625,340.489990234375,337.0143127441406,130614100
2022-02-25,341.30999755859375,345.9800109863281,337.3900146484375,345.7699890136719,342.2404479980469,78842100
2022-02-28,342.510009765625,348.5400085449219,341.32000732421875,346.79998779296875,343.2598571777344,77515500
2022-03-01,345.75,348.0799865722656,338.8999938964844,341.489990234375,338.0041198730469,67407000
2022-03-02,343.0799865722656,348.5899963378906,340.239990234375,347.2200012207031,343.6756286621094,70609000
2022-03-03,349.92999267578125,350.0400085449219,340.3500061035156,342.260009765625,338.7662658691406,71089400
2022-03-04,339.8399963378906,341.30999755859375,334.9200134277344,337.29998779296875,333.8569030761719,76936300
2022-03-07,337.2900085449219,338.4800109863281,324.6499938964844,324.8599853515625,321.54388427734375,89933800
2022-03-08,324.04998779296875,333.2099914550781,319.94000244140625,323.3500061035156,320.04925537109375,116153900
2022-03-09,331.75,336.3800048828125,329.0899963378906,334.989990234375,331.57049560546875,64723400
2022-03-10,330.82000732421875,332.510009765625,326.7099914550781,331.2699890136719,327.888427734375,69362700
2022-03-11,334.32000732421875,334.6400146484375,323.8999938964844,324.3999938964844,321.08856201171875,66228400
2022-03-14,323.1300048828125,326.5899963378906,317.45001220703125,318.1700134277344,314.92218017578125,79802600
2022-03-15,320.8800048828125,328.95001220703125,319.2300109863281,328.1499938964844,324.80029296875,76471000
2022-03-16,332.1700134277344,340.44000244140625,328.3999938964844,340.32000732421875,336.8460693359375,105243000
2022-03-17,338.3699951171875,344.5,337.0400085449219,344.44000244140625,340.92401123046875,67810000
2022-03-18,342.739990234375,351.7900085449219,341.54998779296875,351.489990234375,347.9020080566406,85446300
2022-03-21,350.20001220703125,352.4800109863281,345.5799865722656,350.0799865722656,346.9347839355469,73799100
2022-03-22,350.5899963378906,357.8500061035156,350.20001220703125,356.9599914550781,353.7530212402344,63345900
2022-03-23,354.010009765625,357.6600036621094,351.7699890136719,351.8299865722656,348.6690979003906,70615500
2022-03-24,353.79998779296875,359.70001220703125,351.5899963378906,359.6499938964844,356.41888427734375,53555300
2022-03-25,359.5899963378906,360.6700134277344,354.94000244140625,359.3500061035156,356.1215515136719,57584200
2022-03-28,359.3399963378906,365.010009765625,358.07000732421875,364.9100036621094,361.631591796875,56833900
2022-03-29,368.8999938964844,371.8299865722656,366.05999755859375,371.19000244140625,367.85516357421875,68073000
2022-03-30,369.2799987792969,370.9800109863281,365.57000732421875,367.0899963378906,363.7919921875,68757700
